ReviewID,DestinationID_x,UserID,Rating,ReviewText,Name_x,State,Type,Popularity,BestTimeToVisit,HistoryID,DestinationID_y,VisitDate,ExperienceRating,Name_y,Email,Preferences,Gender,NumberOfAdults,NumberOfChildren
1,178,327,2,Incredible monument!,Jaipur City,Rajasthan,City,8.544351694378236,Oct-Mar,79,175,2024-01-01,3,Pooja,pooja@example.com,"City, Historical",Female,1,1
2,411,783,1,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.284126727805766,Nov-Feb,834,894,2024-03-20,2,Karan,karan@example.com,"City, Historical",Male,1,1
4,358,959,3,Incredible monument!,Jaipur City,Rajasthan,City,7.738761292909418,Oct-Mar,998,660,2024-02-15,4,Ritvik,ritvik@example.com,"Nature, Adventure",Male,1,1
5,989,353,2,Loved the beaches!,Kerala Backwaters,Kerala,Nature,8.208087955185452,Sep-Mar,202,894,2024-01-01,5,Isha,isha@example.com,"Nature, Adventure",Female,2,0
6,473,408,4,A historical wonder,Jaipur City,Rajasthan,City,8.138557734045776,Oct-Mar,331,403,2024-01-01,2,Ishaan,ishaan@example.com,"City, Historical",Male,2,0
7,977,735,3,Incredible monument!,Goa Beaches,Goa,Beach,8.499576395856343,Nov-Mar,280,7,2024-01-01,3,Riya,riya@example.com,"City, Historical",Female,1,0
9,698,330,2,A historical wonder,Jaipur City,Rajasthan,City,8.305889899010864,Oct-Mar,19,208,2024-01-01,3,Aanya,aanya@example.com,"City, Historical",Female,2,1
10,919,109,5,Incredible monument!,Kerala Backwaters,Kerala,Nature,9.252136618345416,Sep-Mar,249,405,2024-03-20,5,Meera,meera@example.com,"Beaches, Historical",Female,2,0
11,253,386,4,Loved the beaches!,Jaipur City,Rajasthan,City,8.125034098865065,Oct-Mar,811,290,2024-01-01,4,Hitesh,hitesh@example.com,"Nature, Adventure",Male,2,0
12,305,813,2,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.111872493591813,Apr-Jun,890,441,2024-02-15,2,Aditya,aditya@example.com,"City, Historical",Male,1,2
14,300,626,1,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,7.799198881540521,Apr-Jun,918,952,2024-03-20,4,Rohan,rohan@example.com,"Nature, Adventure",Male,2,0
16,434,20,4,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.707253748746416,Sep-Mar,472,311,2024-01-01,5,Meera,meera@example.com,"Nature, Adventure",Female,2,0
16,434,20,4,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.707253748746416,Sep-Mar,799,674,2024-01-01,4,Meera,meera@example.com,"Nature, Adventure",Female,2,0
17,416,554,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.327014780224204,Nov-Feb,49,933,2024-01-01,1,Kavya,kavya@example.com,"Nature, Adventure",Female,1,2
17,416,554,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.327014780224204,Nov-Feb,489,529,2024-03-20,4,Kavya,kavya@example.com,"Nature, Adventure",Female,1,2
19,849,69,1,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.749274375887886,Sep-Mar,84,92,2024-03-20,2,Arjun,arjun@example.com,"City, Historical",Male,1,0
19,849,69,1,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.749274375887886,Sep-Mar,428,170,2024-02-15,2,Arjun,arjun@example.com,"City, Historical",Male,1,0
24,512,30,4,A historical wonder,Goa Beaches,Goa,Beach,9.222486404593646,Nov-Mar,541,239,2024-01-01,5,Riya,riya@example.com,"City, Historical",Female,1,1
26,966,591,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.140527124056437,Nov-Feb,59,893,2024-02-15,1,Hitesh,hitesh@example.com,"City, Historical",Male,1,1
26,966,591,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.140527124056437,Nov-Feb,532,679,2024-01-01,4,Hitesh,hitesh@example.com,"City, Historical",Male,1,1
27,674,454,5,A historical wonder,Kerala Backwaters,Kerala,Nature,8.000500722385876,Sep-Mar,375,676,2024-03-20,2,Hitesh,hitesh@example.com,"Beaches, Historical",Male,2,0
27,674,454,5,A historical wonder,Kerala Backwaters,Kerala,Nature,8.000500722385876,Sep-Mar,865,457,2024-01-01,2,Hitesh,hitesh@example.com,"Beaches, Historical",Male,2,0
28,56,982,2,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,8.77933917498307,Nov-Feb,553,544,2024-01-01,1,Meera,meera@example.com,"Beaches, Historical",Female,2,2
30,160,356,1,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.0366846404497,Apr-Jun,136,993,2024-01-01,2,Ishaan,ishaan@example.com,"Nature, Adventure",Male,1,1
30,160,356,1,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.0366846404497,Apr-Jun,487,436,2024-01-01,2,Ishaan,ishaan@example.com,"Nature, Adventure",Male,1,1
32,56,322,3,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.77933917498307,Nov-Feb,833,618,2024-02-15,5,Aanya,aanya@example.com,"Beaches, Historical",Female,2,0
32,56,322,3,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.77933917498307,Nov-Feb,978,424,2024-03-20,3,Aanya,aanya@example.com,"Beaches, Historical",Female,2,0
33,515,332,4,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,9.481318666573411,Apr-Jun,638,583,2024-02-15,1,Riya,riya@example.com,"Nature, Adventure",Female,2,1
34,780,979,4,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,9.291685937704914,Apr-Jun,152,68,2024-02-15,2,Rohan,rohan@example.com,"Beaches, Historical",Male,1,2
35,382,637,1,Loved the beaches!,Goa Beaches,Goa,Beach,8.487140997084705,Nov-Mar,723,24,2024-03-20,1,Ishaan,ishaan@example.com,"Beaches, Historical",Male,1,0
35,382,637,1,Loved the beaches!,Goa Beaches,Goa,Beach,8.487140997084705,Nov-Mar,736,637,2024-01-01,5,Ishaan,ishaan@example.com,"Beaches, Historical",Male,1,0
36,24,872,3,A historical wonder,Kerala Backwaters,Kerala,Nature,9.182423104129008,Sep-Mar,875,782,2024-02-15,1,Hitesh,hitesh@example.com,"Nature, Adventure",Male,1,1
37,390,560,2,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,8.854728503825909,Apr-Jun,347,38,2024-02-15,1,Tanvi,tanvi@example.com,"Nature, Adventure",Female,1,1
37,390,560,2,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,8.854728503825909,Apr-Jun,529,349,2024-01-01,4,Tanvi,tanvi@example.com,"Nature, Adventure",Female,1,1
